Sipariş No;Sipariş Tarihi;Ürün Tutarı;Teslimat Ücreti;Restoran İndirimi;Platform İndirimi;Bahşiş;Ödeme Tipi;Durum
YS-480000;01.08.2026;588,17;0,00;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480001;02.08.2026;686,55;0,00;68,66;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480002;03.08.2026;303,43;0,00;0,00;0,00;10,00;Online Kredi Kartı;Teslim Edildi
YS-480003;04.08.2026;207,06;19,90;0,00;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480004;05.08.2026;691,31;19,90;69,13;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480005;06.08.2026;362,85;0,00;0,00;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480006;07.08.2026;512,53;0,00;0,00;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480007;08.08.2026;659,66;19,90;0,00;0,00;10,00;Online Kredi Kartı;Teslim Edildi
YS-480008;09.08.2026;274,36;0,00;0,00;0,00;0,00;Kapıda Nakit;İptal Edildi
YS-480009;10.08.2026;287,12;19,90;28,71;0,00;10,00;Kapıda Nakit;Teslim Edildi
YS-480010;11.08.2026;345,87;19,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480011;12.08.2026;236,34;0,00;23,63;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480012;13.08.2026;559,60;19,90;0,00;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480013;14.08.2026;577,53;19,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480014;15.08.2026;529,72;0,00;0,00;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480015;16.08.2026;692,31;19,90;0,00;0,00;0,00;Online Kredi Kartı;İptal Edildi
YS-480016;17.08.2026;445,44;29,90;0,00;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480017;18.08.2026;653,28;0,00;0,00;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480018;19.08.2026;674,18;0,00;67,42;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480019;20.08.2026;213,79;29,90;0,00;32,07;0,00;Online Kredi Kartı;Teslim Edildi
YS-480020;21.08.2026;716,60;19,90;71,66;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480021;22.08.2026;846,29;0,00;0,00;0,00;10,00;Kapıda Nakit;Teslim Edildi
YS-480022;23.08.2026;735,78;29,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480023;24.08.2026;732,27;0,00;0,00;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480024;25.08.2026;646,90;0,00;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480025;26.08.2026;637,33;29,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480026;27.08.2026;213,72;29,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480027;28.08.2026;441,12;0,00;0,00;66,17;25,00;Online Kredi Kartı;Teslim Edildi
YS-480028;29.08.2026;604,07;19,90;0,00;90,61;0,00;Online Kredi Kartı;Teslim Edildi
YS-480029;30.08.2026;242,40;0,00;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480030;01.08.2026;483,25;29,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480031;02.08.2026;212,81;29,90;0,00;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480032;03.08.2026;282,04;29,90;0,00;42,31;0,00;Online Kredi Kartı;Teslim Edildi
YS-480033;04.08.2026;755,88;19,90;75,59;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480034;05.08.2026;574,87;0,00;57,49;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480035;06.08.2026;430,76;29,90;0,00;0,00;10,00;Online Kredi Kartı;Teslim Edildi
YS-480036;07.08.2026;846,80;0,00;84,68;0,00;10,00;Online Kredi Kartı;Teslim Edildi
YS-480037;08.08.2026;669,57;0,00;66,96;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480038;09.08.2026;740,13;0,00;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480039;10.08.2026;273,45;29,90;0,00;41,02;0,00;Online Kredi Kartı;Teslim Edildi
YS-480040;11.08.2026;323,53;19,90;0,00;48,53;0,00;Online Kredi Kartı;Teslim Edildi
YS-480041;12.08.2026;348,39;29,90;0,00;0,00;10,00;Online Kredi Kartı;Teslim Edildi
YS-480042;13.08.2026;130,87;19,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480043;14.08.2026;833,71;0,00;83,37;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480044;15.08.2026;291,41;0,00;29,14;0,00;0,00;Online Kredi Kartı;İptal Edildi
YS-480045;16.08.2026;362,55;0,00;0,00;54,38;25,00;Online Kredi Kartı;Teslim Edildi
YS-480046;17.08.2026;611,95;0,00;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480047;18.08.2026;209,31;0,00;0,00;31,40;0,00;Online Kredi Kartı;Teslim Edildi
YS-480048;19.08.2026;401,61;19,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480049;20.08.2026;829,57;19,90;82,96;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480050;21.08.2026;519,59;19,90;0,00;0,00;10,00;Online Kredi Kartı;Teslim Edildi
YS-480051;22.08.2026;522,41;29,90;0,00;0,00;10,00;Online Kredi Kartı;İptal Edildi
YS-480052;23.08.2026;612,67;0,00;61,27;91,90;0,00;Kapıda Nakit;Teslim Edildi
YS-480053;24.08.2026;232,10;0,00;0,00;0,00;10,00;Kapıda Nakit;Teslim Edildi
YS-480054;25.08.2026;703,27;0,00;0,00;0,00;0,00;Kapıda Nakit;Teslim Edildi
YS-480055;26.08.2026;371,33;19,90;0,00;0,00;10,00;Online Kredi Kartı;Teslim Edildi
YS-480056;27.08.2026;483,32;29,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480057;28.08.2026;163,67;19,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480058;29.08.2026;791,69;29,90;0,00;0,00;0,00;Kapıda Nakit;Teslim Edildi
YS-480059;30.08.2026;560,95;19,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480060;01.08.2026;817,94;19,90;0,00;0,00;0,00;Kapıda Nakit;Teslim Edildi
YS-480061;02.08.2026;758,40;19,90;0,00;0,00;0,00;Kapıda Nakit;Teslim Edildi
YS-480062;03.08.2026;588,97;0,00;58,90;88,35;0,00;Kapıda Nakit;Teslim Edildi
YS-480063;04.08.2026;226,76;0,00;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480064;05.08.2026;422,87;29,90;0,00;0,00;10,00;Online Kredi Kartı;Teslim Edildi
YS-480065;06.08.2026;403,92;0,00;0,00;60,59;10,00;Online Kredi Kartı;Teslim Edildi
YS-480066;07.08.2026;455,23;0,00;45,52;0,00;0,00;Online Kredi Kartı;İptal Edildi
YS-480067;08.08.2026;549,80;0,00;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480068;09.08.2026;615,04;19,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480069;10.08.2026;687,56;19,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480070;11.08.2026;432,00;0,00;43,20;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480071;12.08.2026;182,12;19,90;18,21;27,32;10,00;Online Kredi Kartı;Teslim Edildi
YS-480072;13.08.2026;297,35;19,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480073;14.08.2026;219,42;29,90;0,00;0,00;0,00;Kapıda Nakit;Teslim Edildi
YS-480074;15.08.2026;745,36;19,90;0,00;0,00;0,00;Kapıda Nakit;Teslim Edildi
YS-480075;16.08.2026;265,00;19,90;0,00;39,75;25,00;Online Kredi Kartı;Teslim Edildi
YS-480076;17.08.2026;421,21;19,90;0,00;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480077;18.08.2026;576,70;0,00;0,00;0,00;10,00;Online Kredi Kartı;Teslim Edildi
YS-480078;19.08.2026;331,84;0,00;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480079;20.08.2026;120,02;0,00;0,00;18,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480080;21.08.2026;707,47;19,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480081;22.08.2026;747,01;0,00;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480082;23.08.2026;274,97;0,00;0,00;41,25;0,00;Online Kredi Kartı;İptal Edildi
YS-480083;24.08.2026;506,89;0,00;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480084;25.08.2026;220,01;19,90;22,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480085;26.08.2026;683,20;0,00;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
YS-480086;27.08.2026;666,35;19,90;0,00;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480087;28.08.2026;834,38;29,90;0,00;125,16;10,00;Online Kredi Kartı;Teslim Edildi
YS-480088;29.08.2026;617,74;0,00;0,00;0,00;10,00;Online Kredi Kartı;Teslim Edildi
YS-480089;30.08.2026;689,57;0,00;0,00;0,00;25,00;Online Kredi Kartı;Teslim Edildi
YS-480090;01.08.2026;402,31;29,90;0,00;0,00;0,00;Online Kredi Kartı;Teslim Edildi
