Sipariş No;Tarih;Brüt Tutar;Komisyon;Komisyon KDV;Diğer Kesinti;Net Ödeme;Açıklama
YS-480000;01.08.2026;588,17;105,87;21,17;0,00;450,60;
YS-480001;02.08.2026;617,89;111,22;22,24;0,00;473,37;
YS-480002;03.08.2026;303,43;54,62;10,92;0,00;242,28;
YS-480003;04.08.2026;207,06;43,48;8,70;0,00;175,38;
YS-480004;05.08.2026;622,18;111,99;22,40;0,00;476,30;
YS-480006;07.08.2026;512,53;92,26;18,45;0,00;417,20;
YS-480007;08.08.2026;659,66;118,74;23,75;16,14;498,69;
YS-480008;09.08.2026;0,00;0,00;0,00;0,00;0,00;
YS-480009;10.08.2026;258,41;46,51;9,30;0,00;-55,81;
YS-480010;11.08.2026;345,87;62,26;12,45;0,00;264,61;
YS-480011;12.08.2026;212,71;38,29;7,66;0,00;162,95;
YS-480012;13.08.2026;559,60;100,73;20,15;0,00;452,90;
YS-480013;14.08.2026;577,53;103,96;20,79;0,00;442,09;
YS-480014;15.08.2026;529,72;95,35;19,07;0,00;430,37;
YS-480015;16.08.2026;0,00;124,62;24,92;0,00;-149,54;
YS-480016;17.08.2026;445,44;80,18;16,04;0,00;365,26;
YS-480017;18.08.2026;653,28;117,59;23,52;0,00;525,03;
YS-480018;19.08.2026;606,76;109,22;21,84;0,00;464,84;
YS-480019;20.08.2026;213,79;38,48;7,70;0,00;163,82;
YS-480020;21.08.2026;644,94;116,09;23,22;0,00;493,73;
YS-480021;22.08.2026;846,29;152,33;30,47;0,00;-182,80;
YS-480022;23.08.2026;735,78;132,44;26,49;0,00;563,14;
YS-480023;24.08.2026;732,27;131,81;26,36;0,00;585,54;
YS-480024;25.08.2026;646,90;116,44;23,29;0,00;495,59;
YS-480025;26.08.2026;637,33;114,72;22,94;0,00;487,73;
YS-480026;27.08.2026;213,72;38,47;7,69;0,00;163,20;
YS-480027;28.08.2026;441,12;79,40;15,88;0,00;363,68;
YS-480028;29.08.2026;604,07;108,73;21,75;0,00;464,04;
YS-480029;30.08.2026;242,40;43,63;8,73;0,00;185,70;
YS-480030;01.08.2026;483,25;86,98;17,40;0,00;369,68;
YS-480031;02.08.2026;212,81;38,31;7,66;0,00;187,05;
YS-480032;03.08.2026;282,04;59,23;11,85;0,00;206,14;
YS-480033;04.08.2026;680,29;122,45;24,49;0,00;545,37;
YS-480034;05.08.2026;517,38;93,13;18,63;0,00;396,36;
YS-480035;06.08.2026;430,76;77,54;15,51;0,00;339,29;
YS-480036;07.08.2026;762,12;137,18;27,44;0,00;593,68;
YS-480037;08.08.2026;602,61;108,47;21,69;0,00;461,66;
YS-480038;09.08.2026;740,13;133,22;26,64;0,00;567,02;
YS-480039;10.08.2026;273,45;49,22;9,84;0,00;209,69;
YS-480040;11.08.2026;323,53;58,24;11,65;0,00;248,36;
YS-480041;12.08.2026;348,39;62,71;12,54;0,00;276,19;
YS-480043;14.08.2026;750,34;135,06;27,01;0,00;599,39;
YS-480044;15.08.2026;0,00;0,00;0,00;0,00;0,00;
YS-480045;16.08.2026;362,55;65,26;13,05;0,00;303,28;
YS-480046;17.08.2026;611,95;110,15;22,03;0,00;468,82;
YS-480047;18.08.2026;209,31;37,68;7,54;0,00;160,91;
YS-480048;19.08.2026;401,61;72,29;14,46;53,66;253,65;
YS-480049;20.08.2026;746,61;134,39;26,88;0,00;596,17;
YS-480050;21.08.2026;519,59;93,53;18,71;0,00;407,51;
YS-480051;22.08.2026;0,00;94,03;18,81;0,00;-112,84;
YS-480052;23.08.2026;551,40;99,25;19,85;0,00;-119,10;
YS-480053;24.08.2026;232,10;41,78;8,36;0,00;-50,14;
YS-480054;25.08.2026;703,27;126,59;25,32;0,00;-151,91;
YS-480055;26.08.2026;371,33;66,84;13,37;0,00;293,94;
YS-480056;27.08.2026;483,32;87,00;17,40;0,00;369,73;
YS-480057;28.08.2026;163,67;29,46;5,89;0,00;125,03;
YS-480058;29.08.2026;791,69;142,50;28,50;0,00;-171,00;
YS-480059;30.08.2026;560,95;100,97;20,19;0,00;429,39;
YS-480060;01.08.2026;817,94;147,23;29,45;0,00;-176,68;
YS-480061;02.08.2026;758,40;159,26;31,85;0,00;-191,11;
YS-480062;03.08.2026;530,07;95,41;19,08;0,00;-114,49;
YS-480063;04.08.2026;226,76;40,82;8,16;0,00;173,72;
YS-480064;05.08.2026;422,87;76,12;15,22;0,00;333,25;
YS-480065;06.08.2026;403,92;72,71;14,54;0,00;320,35;
YS-480066;07.08.2026;0,00;73,75;14,75;0,00;-88,50;
YS-480067;08.08.2026;549,80;98,96;19,79;0,00;421,21;
YS-480068;09.08.2026;615,04;110,71;22,14;0,00;470,82;
YS-480069;10.08.2026;687,56;123,76;24,75;0,00;526,39;
YS-480070;11.08.2026;388,80;69,98;14,00;0,00;297,86;
YS-480071;12.08.2026;163,91;29,50;5,90;0,00;135,53;
YS-480072;13.08.2026;297,35;53,52;10,70;0,00;227,45;
YS-480073;14.08.2026;219,42;39,50;7,90;0,00;-47,40;
YS-480074;15.08.2026;745,36;134,16;26,83;0,00;-160,99;
YS-480075;16.08.2026;265,00;47,70;9,54;0,00;227,92;
YS-480076;17.08.2026;421,21;75,82;15,16;0,00;346,89;
YS-480077;18.08.2026;576,70;103,81;20,76;0,00;451,63;
YS-480078;19.08.2026;331,84;59,73;11,95;0,00;254,22;
YS-480080;21.08.2026;707,47;127,34;25,47;0,00;541,64;
YS-480081;22.08.2026;747,01;134,46;26,89;0,00;572,29;
YS-480082;23.08.2026;0,00;0,00;0,00;0,00;0,00;
YS-480083;24.08.2026;506,89;91,24;18,25;0,00;388,33;
YS-480084;25.08.2026;198,01;35,64;7,13;0,00;151,34;
YS-480085;26.08.2026;683,20;122,98;24,60;0,00;523,39;
YS-480086;27.08.2026;666,35;119,94;23,99;0,00;534,69;
YS-480087;28.08.2026;834,38;150,19;30,04;0,00;650,74;
YS-480088;29.08.2026;617,74;111,19;22,24;0,00;483,07;
YS-480089;30.08.2026;689,57;124,12;24,82;16,58;536,26;
YS-480090;01.08.2026;402,31;84,49;16,90;0,00;293,19;
YS-480091;02.08.2026;596,42;107,36;21,47;0,00;458,52;
YS-480092;03.08.2026;399,64;71,94;14,39;0,00;315,44;
YS-480093;04.08.2026;0,00;60,30;12,06;0,00;-72,36;
YS-480094;05.08.2026;506,37;91,15;18,23;0,00;389,29;
YS-480095;06.08.2026;349,88;62,98;12,60;0,00;277,86;
YS-480096;07.08.2026;143,47;25,82;5,16;0,00;-30,98;
YS-480097;08.08.2026;653,78;117,68;23,54;0,00;500,86;
YS-480098;09.08.2026;0,00;0,00;0,00;0,00;0,00;
YS-480099;10.08.2026;683,15;122,97;24,59;0,00;533,18;
YS-480100;11.08.2026;731,90;131,74;26,35;0,00;584,91;
YS-480101;12.08.2026;726,62;130,79;26,16;0,00;556,13;
YS-480102;13.08.2026;180,72;32,53;6,51;0,00;138,09;
YS-480103;14.08.2026;535,54;96,40;19,28;0,00;410,27;
YS-480104;15.08.2026;510,87;91,96;18,39;0,00;415,57;
YS-480105;16.08.2026;293,55;52,84;10,57;0,00;249,44;
YS-480106;17.08.2026;626,66;112,80;22,56;0,00;479,73;
YS-480107;18.08.2026;242,12;43,58;8,72;0,00;185,49;
YS-480108;19.08.2026;525,62;94,61;18,92;0,00;402,68;
YS-480109;20.08.2026;455,36;81,96;16,39;0,00;348,86;
YS-480110;21.08.2026;162,53;29,26;5,85;0,00;148,53;
YS-480111;22.08.2026;733,05;131,95;26,39;0,00;573,38;
YS-480112;23.08.2026;665,22;119,74;23,95;0,00;509,62;
YS-480113;24.08.2026;667,51;120,15;24,03;0,00;523,19;
YS-480114;25.08.2026;794,25;142,97;28,59;0,00;607,94;
YS-480115;26.08.2026;699,95;125,99;25,20;0,00;536,23;
YS-480117;28.08.2026;176,63;31,79;6,36;0,00;134,96;
YS-480118;29.08.2026;650,09;117,02;23,40;0,00;522,23;
YS-480119;30.08.2026;579,09;121,61;24,32;0,00;422,79;
YS-480120;01.08.2026;147,62;26,57;5,31;0,00;-31,88;
YS-480121;02.08.2026;0,00;0,00;0,00;0,00;0,00;
YS-480122;03.08.2026;317,40;57,13;11,43;0,00;267,18;
YS-480123;04.08.2026;607,53;109,36;21,87;0,00;465,43;
YS-480124;05.08.2026;166,91;30,04;6,01;0,00;127,87;
YS-480125;06.08.2026;273,50;49,23;9,85;0,00;208,99;
YS-480126;07.08.2026;702,35;126,42;25,28;0,00;537,54;
YS-480127;08.08.2026;0,00;0,00;0,00;0,00;0,00;
YS-480128;09.08.2026;361,59;65,09;13,02;0,00;301,56;
YS-480129;10.08.2026;128,34;23,10;4,62;0,00;122,52;
YS-480130;11.08.2026;390,49;70,29;14,06;41,30;267,67;
YS-480131;12.08.2026;242,71;43,69;8,74;0,00;211,14;
YS-480132;13.08.2026;159,60;28,73;5,75;0,00;121,91;
YS-480133;14.08.2026;320,85;57,75;11,55;0,00;245,81;
YS-480134;15.08.2026;498,10;89,66;17,93;0,00;381,59;
YS-480135;16.08.2026;741,09;133,40;26,68;0,00;569,73;
YS-480136;17.08.2026;383,84;69,09;13,82;0,00;294,06;
YS-480137;18.08.2026;662,35;119,22;23,84;0,00;507,43;
YS-480138;19.08.2026;383,31;69,00;13,80;0,00;317,85;
YS-480139;20.08.2026;565,88;101,86;20,37;0,00;442,99;
YS-480140;21.08.2026;461,77;83,12;16,62;0,00;353,41;
YS-480141;22.08.2026;747,19;134,49;26,90;0,00;596,98;
YS-480142;23.08.2026;285,73;51,43;10,29;0,00;242,91;
YS-480143;24.08.2026;759,43;136,70;27,34;0,00;581,26;
YS-480144;25.08.2026;762,49;137,25;27,45;0,00;608,34;
YS-480145;26.08.2026;214,11;38,54;7,71;0,00;173,49;
YS-480146;27.08.2026;463,16;83,37;16,67;0,00;354,47;
YS-480147;28.08.2026;0,00;68,78;13,76;0,00;-82,54;
YS-480148;29.08.2026;426,40;89,54;17,91;0,00;311,32;
YS-480149;30.08.2026;691,88;124,54;24,91;0,00;530,05;
YS-480150;01.08.2026;820,64;147,72;29,54;0,00;628,69;
YS-480151;02.08.2026;388,65;69,96;13,99;0,00;321,76;
YS-480152;03.08.2026;518,14;93,27;18,65;0,00;396,95;
YS-480153;04.08.2026;0,00;39,82;7,96;0,00;-47,78;
YS-480154;05.08.2026;694,97;125,09;25,02;0,00;558,84;
YS-480155;06.08.2026;0,00;0,00;0,00;0,00;0,00;
YS-480156;07.08.2026;340,81;61,35;12,27;0,00;260,55;
YS-480157;08.08.2026;428,12;77,06;15,41;0,00;327,45;
YS-480158;09.08.2026;774,33;139,38;27,88;0,00;593,21;
YS-480159;10.08.2026;815,16;146,73;29,35;0,00;624,13;
YS-480160;11.08.2026;197,96;35,63;7,13;0,00;151,66;
YS-480161;12.08.2026;391,46;70,46;14,09;0,00;299,55;
YS-480162;13.08.2026;785,68;141,42;28,28;0,00;601,92;
YS-480163;14.08.2026;814,18;146,55;29,31;0,00;650,13;
YS-480164;15.08.2026;540,64;97,32;19,46;0,00;415,10;
YS-480165;16.08.2026;674,65;121,44;24,29;0,00;516,84;
YS-480166;17.08.2026;156,25;28,12;5,62;0,00;119,71;
YS-480167;18.08.2026;400,55;72,10;14,42;0,00;330,88;
YS-480168;19.08.2026;323,32;58,20;11,64;0,00;247,69;
YS-480169;20.08.2026;493,53;88,84;17,77;0,00;377,73;
YS-480170;21.08.2026;593,33;125,65;25,13;0,00;441,75;
YS-480171;22.08.2026;167,37;30,13;6,03;26,28;101,40;
